,time,open,high,low,close,ema_short,ema_long,EMA_6,EMA_12,EMA_20,SAR,RSI_14
3140,2021-05-12 06:00:00,1.71056,1.71167,1.71009,1.7115200000000002,1.71152,1.70832,1.71079,1.71075,1.7105,1.71405,55.93
3141,2021-05-12 07:00:00,1.71149,1.71185,1.71067,1.71074,1.71074,1.70841,1.71078,1.71075,1.71052,1.71375,52.58
3142,2021-05-12 08:00:00,1.71074,1.7112699999999998,1.7103899999999999,1.7111800000000001,1.71118,1.70852,1.71089,1.71082,1.71058,1.71347,54.24
3143,2021-05-12 09:00:00,1.71117,1.71214,1.71035,1.71062,1.71062,1.7086,1.71081,1.71079,1.71059,1.71321,51.75
3144,2021-05-12 10:00:00,1.71061,1.71117,1.7086999999999999,1.7088700000000001,1.70887,1.70861,1.71026,1.71049,1.71042,1.71296,44.83
3145,2021-05-12 11:00:00,1.70886,1.71045,1.70821,1.70933,1.70933,1.70864,1.70999,1.71031,1.71032,1.71262,46.84
3146,2021-05-12 12:00:00,1.70932,1.70988,1.70701,1.70846,1.70846,1.70863,1.70956,1.71003,1.71014,1.71218,43.6
3147,2021-05-12 13:00:00,1.7084700000000002,1.70966,1.70747,1.7095099999999999,1.70951,1.70867,1.70954,1.70995,1.71008,1.71156,48.25
3148,2021-05-12 14:00:00,1.7095099999999999,1.71015,1.7075,1.70787,1.70787,1.70864,1.70906,1.70963,1.70987,1.71101,42.37
3149,2021-05-12 15:00:00,1.70787,1.70796,1.7034799999999999,1.7058,1.7058,1.70853,1.70813,1.70904,1.70948,1.71053,36.35
3150,2021-05-12 16:00:00,1.7058,1.70658,1.70278,1.70427,1.70427,1.70836,1.70703,1.70831,1.70899,1.71015,32.66
3151,2021-05-12 17:00:00,1.70427,1.7055799999999999,1.70164,1.7048100000000002,1.70481,1.70822,1.70639,1.70777,1.70859,1.70897,35.16
3152,2021-05-12 18:00:00,1.70475,1.7066,1.70419,1.70431,1.70431,1.70807,1.7058,1.70724,1.70818,1.70765,33.9
3153,2021-05-12 19:00:00,1.70431,1.70539,1.70271,1.7028400000000001,1.70284,1.70786,1.70495,1.70656,1.70767,1.7066,30.45
3154,2021-05-12 20:00:00,1.7028400000000001,1.70328,1.70118,1.70282,1.70282,1.70766,1.70434,1.70598,1.70721,1.7066,30.41
3155,2021-05-12 21:00:00,1.70283,1.7031100000000001,1.70177,1.70209,1.70209,1.70745,1.7037,1.70539,1.70672,1.70552,28.73
3156,2021-05-12 22:00:00,1.7021,1.70541,1.70184,1.70541,1.70541,1.70737,1.70419,1.70539,1.7066,1.70118,43.91
3157,2021-05-12 23:00:00,1.70539,1.70591,1.70389,1.70468,1.70468,1.70726,1.70433,1.70528,1.70642,1.70126,41.8
